country_area,year,other,solar,wind,hydro
Africa,1965,0,0,0,13.905635
Africa,1966,0,0,0,15.510004
Africa,1967,0,0,0,16.190636
Africa,1968,0,0,0,18.938341
Africa,1969,0,0,0,22.10089
Africa,1970,0,0,0,27.63043
Africa,1971,0.164,0,0,26.013391
Africa,1972,0.165,0,0,29.633196
Africa,1973,0.17,0,0,31.345707
Africa,1974,0.175,0,0,35.667076
Africa,1975,0.172,0,0,37.71797
Africa,1976,0.185,0,0,41.797634
Africa,1977,0.189,0,0,45.92877
Africa,1978,0.195,0,0,46.30694
Africa,1979,0.201,0,0,49.56523
Africa,1980,0.207,0,0,48.311783
Africa,1981,0.218,0,0,50.192905
Africa,1982,0.236,0,0,50.206238
Africa,1983,0.23,0,0,45.24716
Africa,1984,0.234,0,0,44.489975
Africa,1985,0.269,0,0,49.449684
Africa,1986,0.659,0,0,51.145374
Africa,1987,0.658,0,0,49.05646
Africa,1988,0.626,0,0,53.593456
Africa,1989,0.617,0,0,56.276215
Africa,1990,0.80574995,0,0,57.254658
Africa,1991,0.8217477,0,0,60.65149
Africa,1992,0.85394657,0,0,57.86029
Africa,1993,0.94937193,0,0.002,56.682507
Africa,1994,0.84669536,0,0.0054,57.59605
Africa,1995,1.028464,0,0.0063,59.75028
Africa,1996,1.2678369,0,0.0071,62.29786
Africa,1997,1.3963903,0,0.0072,63.831898
Africa,1998,1.724236,0,0.0076,66.654884
Africa,1999,1.7097833,0,0.0198,70.684265
Africa,2000,2.2749128,0.012091,0.1755,75.30208
Africa,2001,2.3482146,0.015053,0.41558,80.910614
Africa,2002,2.3121176,0.016457712,0.443584,85.06818
Africa,2003,2.6455586,0.019282296,0.535599,82.617035
Africa,2004,3.0130265,0.02325488,0.7682815,87.22669
Africa,2005,3.0694032,0.027105464,0.7803882,88.84313
Africa,2006,3.8381698,0.03509121,0.852607,92.05469
Africa,2007,3.1995003,0.044129808,1.0163264,95.20505
Africa,2008,3.3222678,0.062506974,1.3119144,96.96208
Africa,2009,3.6504948,0.08354463,1.5895555,99.56687
Africa,2010,3.8558366,0.20111556,2.2847242,107.687065
Africa,2011,3.9865716,0.58679986,2.3878222,110.73344
Africa,2012,4.306773,0.94917136,2.5177002,110.881065
Africa,2013,4.622147,0.73769605,3.595774,117.32104
Africa,2014,5.632845,1.8555973,5.0624056,124.171074
Africa,2015,7.2229776,3.5459864,8.912966,120.966484
Africa,2016,7.3167644,5.258691,11.178679,119.33239
Africa,2017,7.5359426,6.9112763,13.613888,125.53052
Africa,2018,8.222502,8.334139,14.764321,134.4142
Africa,2019,8.306,11.032807,19.283148,137.83789
Africa,2020,7.996047,15.181535,19.111317,147.40895
Africa,2021,8.062824,17.457838,22.960455,155.50735
Africa,2022,8.470694,17.226694,24.724098,161.92616
Africa,2023,9.731144,18.962694,28.409922,167.11745
Africa,2024,10.793401,20.86424,29.071463,170.07578
Africa (EI),1965,0,0,0,13.905635
Africa (EI),1966,0,0,0,15.510004
Africa (EI),1967,0,0,0,16.190636
Africa (EI),1968,0,0,0,18.938341
Africa (EI),1969,0,0,0,22.10089
Africa (EI),1970,0,0,0,27.63043
Africa (EI),1971,0.164,0,0,26.013391
Africa (EI),1972,0.165,0,0,29.633196
