country_area,Year,total,hydro,solar,wind,other
Africa,1985,19.20,19.09,0.00,0.00,0.10
Africa,1986,19.18,18.94,0.00,0.00,0.24
Africa,1987,17.74,17.50,0.00,0.00,0.23
Africa,1988,18.36,18.15,0.00,0.00,0.21
Africa,1989,18.55,18.35,0.00,0.00,0.20
Africa,1990,18.21,17.96,0.00,0.00,0.25
Africa,1991,18.92,18.67,0.00,0.00,0.25
Africa,1992,17.91,17.65,0.00,0.00,0.26
Africa,1993,17.00,16.72,0.00,0.00,0.28
Africa,1994,16.64,16.39,0.00,0.00,0.24
Africa,1995,16.76,16.47,0.00,0.00,0.28
Africa,1996,16.64,16.30,0.00,0.00,0.33
Africa,1997,16.27,15.92,0.00,0.00,0.35
Africa,1998,16.83,16.40,0.00,0.00,0.42
Africa,1999,17.30,16.89,0.00,0.00,0.41
Africa,2000,17.57,16.97,0.00,0.04,0.56
Africa,2001,18.13,17.48,0.00,0.09,0.56
Africa,2002,18.05,17.35,0.00,0.09,0.61
Africa,2003,16.87,16.11,0.00,0.10,0.65
Africa,2004,16.85,16.02,0.00,0.14,0.68
Africa,2005,16.75,15.96,0.00,0.14,0.65
Africa,2006,16.70,15.78,0.01,0.14,0.76
Africa,2007,16.47,15.66,0.00,0.17,0.64
Africa,2008,16.49,15.59,0.01,0.21,0.68
Africa,2009,17.07,16.11,0.01,0.26,0.69
Africa,2010,17.29,16.25,0.03,0.34,0.66
Africa,2011,17.32,16.28,0.08,0.35,0.61
Africa,2012,16.89,15.79,0.13,0.36,0.62
Africa,2013,17.24,15.95,0.10,0.52,0.67
Africa,2014,17.90,16.18,0.24,0.67,0.80
Africa,2015,18.04,15.48,0.46,1.14,0.96
Africa,2016,18.00,14.99,0.62,1.39,1.01
Africa,2017,18.79,15.30,0.86,1.63,1.00
Africa,2018,19.66,15.96,0.99,1.74,0.97
Africa,2019,20.66,16.20,1.26,2.23,0.96
Africa,2020,22.28,17.35,1.78,2.22,0.93
Africa,2021,22.63,17.09,2.08,2.56,0.89
Africa,2022,23.79,17.53,2.65,2.67,0.94
Africa,2023,24.03,16.82,3.29,3.01,0.91
Asia,1985,18.01,17.08,0.00,0.00,0.93
Asia,1986,17.21,16.29,0.00,0.00,0.92
Asia,1987,16.42,15.56,0.00,0.00,0.86
Asia,1988,17.55,16.68,0.00,0.00,0.87
Asia,1989,16.81,15.93,0.00,0.00,0.87
Asia,1990,16.31,15.64,0.00,0.00,0.67
