country_area,year,renewable_share
Africa,1965,5.419266
Africa,1966,5.772398
Africa,1967,5.9637628
Africa,1968,6.60547
Africa,1969,7.505726
Africa,1970,8.64954
Africa,1971,7.6892214
Africa,1972,8.276323
Africa,1973,8.068716
Africa,1974,8.73629
Africa,1975,8.713099
Africa,1976,8.90637
Africa,1977,9.280894
Africa,1978,9.005293
Africa,1979,8.839782
Africa,1980,8.006187
Africa,1981,7.4046946
Africa,1982,6.9447308
Africa,1983,6.0913973
Africa,1984,5.8182507
Africa,1985,6.2178087
Africa,1986,6.357194
Africa,1987,5.8988004
Africa,1988,6.009116
Africa,1989,6.295899
Africa,1990,6.2146626
Africa,1991,6.5928745
Africa,1992,6.2082686
Africa,1993,6.0758667
Africa,1994,5.958603
Africa,1995,5.9614854
Africa,1996,6.079956
Africa,1997,6.1115522
Africa,1998,6.318395
Africa,1999,6.490369
Africa,2000,6.8128176
Africa,2001,7.0239744
Africa,2002,7.235608
Africa,2003,6.7313123
Africa,2004,6.535212
Africa,2005,6.6441298
Africa,2006,6.7591224
Africa,2007,6.67644
Africa,2008,6.3756404
Africa,2009,6.4545474
Africa,2010,6.7359877
Africa,2011,6.8191915
Africa,2012,6.5544257
Africa,2013,6.7026834
Africa,2014,6.997135
Africa,2015,7.022668
Africa,2016,6.932607
Africa,2017,7.179438
Africa,2018,7.598577
Africa,2019,7.84052
Africa,2020,8.819855
Africa,2021,8.715219
Africa,2022,8.9204855
Africa,2023,9.215277
Africa,2024,9.354101
Africa (EI),1965,5.419266
Africa (EI),1966,5.772398
Africa (EI),1967,5.9637628
Africa (EI),1968,6.60547
Africa (EI),1969,7.505726
Africa (EI),1970,8.64954
Africa (EI),1971,7.6892214
Africa (EI),1972,8.276323
Africa (EI),1973,8.068716
Africa (EI),1974,8.73629
Africa (EI),1975,8.713099
Africa (EI),1976,8.90637
Africa (EI),1977,9.280894
Africa (EI),1978,9.005293
Africa (EI),1979,8.839782
Africa (EI),1980,8.006187
Africa (EI),1981,7.4046946
Africa (EI),1982,6.9447308
Africa (EI),1983,6.0913973
Africa (EI),1984,5.8182507
Africa (EI),1985,6.2178087
Africa (EI),1986,6.357194
Africa (EI),1987,5.8988004
Africa (EI),1988,6.009116
Africa (EI),1989,6.295899
Africa (EI),1990,6.2146626
Africa (EI),1991,6.5928745
Africa (EI),1992,6.2082686
Africa (EI),1993,6.0758667
Africa (EI),1994,5.958603
Africa (EI),1995,5.9614854
Africa (EI),1996,6.079956
Africa (EI),1997,6.1115522
Africa (EI),1998,6.318395
Africa (EI),1999,6.490369
Africa (EI),2000,6.8128176
Africa (EI),2001,7.0239744
Africa (EI),2002,7.235608
Africa (EI),2003,6.7313123
Africa (EI),2004,6.535212
Africa (EI),2005,6.6441298
Africa (EI),2006,6.7591224
Africa (EI),2007,6.67644
Africa (EI),2008,6.3756404
Africa (EI),2009,6.4545474
Africa (EI),2010,6.7359877
Africa (EI),2011,6.8191915
Africa (EI),2012,6.5544257
Africa (EI),2013,6.7026834
Africa (EI),2014,6.997135
Africa (EI),2015,7.022668
Africa (EI),2016,6.932607
Africa (EI),2017,7.179438
Africa (EI),2018,7.598577
Africa (EI),2019,7.84052
Africa (EI),2020,8.819855
Africa (EI),2021,8.715219
Africa (EI),2022,8.9204855
Africa (EI),2023,9.215277
Africa (EI),2024,9.354101
Algeria,1965,4.48735
